"","PREDDEG_factor","Control_factor","NPT4_COMBINE","DEP_STAT_PCT_IND","PAR_ED_PCT_1STGEN","MD_FAMINC","PCTPELL","PCTFLOAN","GRAD_DEBT_MDN","WDRAW_DEBT_MDN","APPL_SCH_PCT_GE2","MD_EARN_WNE_P6","MD_EARN_WNE_P10","RPY_3YR_RT_SUPP","CDR3"
"190655","Associate's-degree","Public",5523,0.282295082,0.4948789572,19693.46525,0.5902,0.1178,9077.5,5000,0.6436065574,28100,37500,0.495904691,0.136
"145831","Certificate-degree","Public",7042,0.4588100686,0.5573549258,21706.72396,0.3522,0.1086,8379.5,4000,0.2768878719,24000,28500,0.5154867257,0.135
"226833","Bachelor's-degree","Public",9712,0.3541136556,0.4047619048,41170.68472,0.3896,0.5119,22500,7500,0.534351145,34300,38900,0.5980861244,0.096
"143118","Bachelor's-degree","Private Nonprofit",16877,0.2950574139,0.4390512962,53307.52069,0.4032,0.7095,21807,6250,0.6105841238,35100,41100,0.6989247312,0.066
"139250","Associate's-degree","Public",9482,0.4039735099,0.4251308901,28667.67242,0.5841,0.4986,12954,4686,0.4370860927,23100,28500,0.4193548387,0.208
"381699","Certificate-degree","Private For-profit",6099,0.6726457399,0.6312849162,13883.47949,0.7273,0.7955,8000,3668,0.3183856502,16700,15200,0.2881355932,0.155
"199005","Certificate-degree","Private For-profit",5932,0.5943396226,0.3664921466,22174.41991,0.3333,0.3333,4746,3060,0.4339622642,19200,17400,0.4478527607,0.255
"144166","Associate's-degree","Public",7684,0.6034140532,0.5466472303,11669.2793,0.4295,0.0454,4830.5,2525,0.652441445,19600,23500,0.4375,0.083
"461227","Certificate-degree","Private For-profit",10343,0.593495935,0.5794392523,6544.554413,0.4935,0.7792,9500,5500,0.4959349593,25000,30600,0.4088072088,0
"224183","Associate's-degree","Private For-profit",22112,0.8992628993,0.5304347826,24251.83393,0.2966,0.3928,14000,9500,0.3906633907,26400,30800,0.3223322332,0.168
"112455","Certificate-degree","Private For-profit",13469,0.5272727273,0.511627907,20718.79608,0.413,0.4457,13666,5500,0.4909090909,18000,30600,0.4591836735,0.09
"129525","Bachelor's-degree","Private Nonprofit",27525,0.1083427709,0.2666394447,73022.70553,0.2625,0.6574,26700,5600,0.7893544734,33800,46100,0.7087735416,0.053
"113111","Associate's-degree","Public",10616,0.334401025,0.5835962145,19429.07394,0.2018,0,14000,5500,0.4907110826,24400,32000,0.5483870968,0.047
"45486501","NotClassified","Private For-profit",14962.5,0.7802690583,0.4427083333,22052.77339,0.5266,0.6008,20000,9487.5,0.5022421525,25000,30600,0.4088072088,0.222
"376242","Certificate-degree","Private For-profit",7689,0.4769975787,0.6526315789,0,0.9958,0,14000,5500,0.4167031045,12700,14700,0.4088072088,0
"458238","Certificate-degree","Private For-profit",14962.5,0.7031463748,0.6303030303,9942.134994,0.4444,0.4778,9500,3898,0.3984268126,16900,26200,0.1590202177,0.28
"434973","Bachelor's-degree","Private For-profit",18602,0.9178236634,0.5399317561,16576.05959,0.3632,0.5324,29213,5500,0.3939029156,33400,51100,0.2638079401,0.26
"453473","Associate's-degree","Private For-profit",17344,0.8428346457,0.6189704094,11730.78151,0.9097,0.7401,24389,7667,0.3615748031,17600,21900,0.1368932039,0.107
"461847","Bachelor's-degree","Private Nonprofit",20657,0.6112138016,0.5076923077,27135.82477,0.5,0,14000,5500,0.4167031045,25000,30600,0.4088072088,0
"190071","Associate's-degree","Private Nonprofit",14962.5,0.6112138016,0.5076923077,39120.51783,0.3822,0.7325,20000,6788,0.4167031045,73500,86000,0.625,0.058
"220136","Graduate-degree","Private Nonprofit",14962.5,0.6112138016,0.5076923077,19262.25746,0.5266,0.6008,14000,5500,0.4167031045,25000,30600,0.4088072088,0.153
"456612","Associate's-degree","Private For-profit",19076,0.7167097807,0.5262342091,14933.85861,0.8137,0.8039,17800,4867,0.3767245627,27700,27400,0.2426065163,0.262
"128391","Bachelor's-degree","Public",12623,0.16380182,0.2826780021,56032.51619,0.308,0.2158,19500,6535,0.5176946411,25700,35900,0.677532014,0.084
"207281","Associate's-degree","Public",5913,0.4504065041,0.480611484,25288.66937,0.2897,0.2549,8946,4750,0.4900813008,25400,30400,0.4260065288,0.294
"456515","Certificate-degree","Private For-profit",18407,0.7562152134,0.5383944154,14400.84351,0.4134,0.3816,9500,4750,0.3525046382,19300,20200,0.2288,0.257
"176664","Bachelor's-degree","Private Nonprofit",12779,0.2641509434,0.3718592965,38690.27347,0.6548,0.7571,21500,9250,0.4198113208,22300,29100,0.6095890411,0.107
"445142","Certificate-degree","Private For-profit",17448,0.7019685039,0.5565545765,13977.15084,0.6558,0.7308,9500,4698.5,0.3517060367,23800,27500,0.2425228712,0.226
"437219","Associate's-degree","Private For-profit",21634,0.765962788,0.52367531,17679.94098,0.6913,0.8646,18772,6334,0.297031896,29300,38800,0.2615683733,0.286
"419031","Certificate-degree","Public",4857,0.6112138016,0.5076923077,17554.31885,0.64,0,14000,5500,0.4167031045,25000,30600,0.4088072088,0
"220321","Certificate-degree","Public",9324,0.5896805897,0.6123076923,15759.75659,0.6766,0,14000,5500,0.3243243243,22300,26200,0.4088072088,0
"142285","Bachelor's-degree","Public",13384,0.2148968294,0.3227102303,43652.10185,0.4178,0.5796,23167.5,8750,0.5848012079,29500,39700,0.6635853417,0.075
"125310","Certificate-degree","Private For-profit",13082,0.4444444444,0.5076923077,16695.62461,0.3214,0,14000,5500,0.4167031045,25000,30600,0.4088072088,0
"118347","Associate's-degree","Public",8868,0.6565445026,0.4464993395,8773.898558,0.251,0.0941,10250,7000,0.4094240838,23400,31700,0.3690140845,0.177
"189282","Associate's-degree","Private Nonprofit",14962.5,0.7752808989,0.3377483444,33024.02486,0.2471,0.5627,13925,5500,0.3146067416,74500,30600,0.7730496454,0.048
"209074","Associate's-degree","Public",8774,0.5790413814,0.4481456044,19021.70773,0.4389,0.5067,15661,5500,0.4611491515,23700,32000,0.4506892895,0.202
"238980","Bachelor's-degree","Private Nonprofit",18025,0.5836701698,0.4694063927,40732.54145,0.3443,0.6257,25000,11858,0.4680679062,33100,40200,0.6112920738,0.07
"454078","Certificate-degree","Private Nonprofit",12040,0.6112138016,0.5652173913,5332.605451,0.9333,0,14000,5500,0.4,25000,30600,0.4088072088,0
"201964","Bachelor's-degree","Private Nonprofit",25328,0.8394553515,0.5845410628,16267.46342,0.6962,0.8345,24500,4750,0.5506649778,27500,34100,0.3293838863,0.122
"446145","Certificate-degree","Private For-profit",21773,0.7590361446,0.4776119403,16757.95824,0.6,0.72,6333,5500,0.3855421687,15900,30600,0.3873873874,0.125
"229780","Bachelor's-degree","Private Nonprofit",13301,0.6747938329,0.4655385885,34364.2338,0.2934,0.3782,15625,5500,0.5034062388,34600,40300,0.5078014184,0.117
"441195","Certificate-degree","Private For-profit",14170,0.7949790795,0.4829268293,18126.05703,0.7048,0.5429,5805,2766.5,0.3305439331,20100,27300,0.282674772,0.308
"197337","Certificate-degree","Private For-profit",9415,0.6549295775,0.5714285714,16507.17893,0.5159,0.293,3862.5,5500,0.2816901408,25000,30600,0.4088072088,0
"11835607","NotClassified","Private For-profit",14962.5,0.5944103613,0.584273183,12270.27312,0.5266,0.6008,10071,3500,0.3665076119,15100,14100,0.2510316369,0.177
