,PREDDEG_factor,Control_factor,NPT4_COMBINE,DEP_STAT_PCT_IND,PAR_ED_PCT_1STGEN,MD_FAMINC,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,APPL_SCH_PCT_GE2,MD_EARN_WNE_P6,MD_EARN_WNE_P10,RPY_3YR_RT_SUPP,CDR3
176910,Bachelor's-degree,Private Nonprofit,15020,0.364485981,0.383838384,36827.15162,0.6246,0.6372,16237.5,5500,0.5,19400,28400,0.583333333,0.128
403469,Certificate-degree,Public,1070,0.56466877,0.503623188,21224.96496,0.1372,0.0324,4500,3500,0.350157729,19400,25700,0.591836735,0.228
209409,Bachelor's-degree,Private Nonprofit,16869,0.515850144,0.394409938,39974.934,0.523,0.8033,21390,10500,0.657060519,31200,43100,0.646258503,0.063
458496,Associate's-degree,Private For-profit,27315,0.384838944,0.388059702,23464.0917,0.5667,0.6557,27722,6334,0.407604747,23500,30500,0.280527488,0.235
184180,Associate's-degree,Public,6463,0.266950657,0.445068164,34788.7795,0.225,0.1668,8425,3500,0.351082712,29400,38400,0.649377593,0.131
230861,Associate's-degree,Public,6695,0.604134367,0.540747279,20334.48993,0.4445,0.2981,9700,3998.5,0.315503876,23200,25100,0.533268102,0.176
119553,Certificate-degree,Private For-profit,23613,0.753307393,0.402646503,13787.81263,0.6461,0.8139,9497,4350,0.276264591,22100,29600,0.496385542,0.078
445726,Associate's-degree,Private For-profit,18529,0.807816277,0.549870801,11017.91659,0.5567,0.4412,23125,6334,0.327558421,19900,34200,0.196642686,0.209
364636,Certificate-degree,Public,10685,0.729166667,0.603305785,19427.0854,0.8333,0.8542,6334,3698,0.326388889,24700,25600,0.358974359,0.166
214634,Bachelor's-degree,Public,13854,0.189702323,0.31458616,63904.24232,0.5868,0.7404,26500,8250,0.501524534,37500,47700,0.736918786,0.08
148584,Bachelor's-degree,Private Nonprofit,17324,0.35257732,0.46868009,60152.46192,0.3332,0.7651,24440,10281,0.594845361,44500,45200,0.688,0.044
